"PROVINCE_NAME","ROUTE_NAME",JDATETIME,GDATETIME,total
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 07:00:00","2023-09-01 07:00:00.0",1062
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 08:00:00","2023-09-01 08:00:00.0",996
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 09:00:00","2023-09-01 09:00:00.0",976
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 10:00:00","2023-09-01 10:00:00.0",584
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 11:00:00","2023-09-01 11:00:00.0",1008
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 12:00:00","2023-09-01 12:00:00.0",427
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 13:00:00","2023-09-01 13:00:00.0",714
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 14:00:00","2023-09-01 14:00:00.0",686
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 15:00:00","2023-09-01 15:00:00.0",938
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 16:00:00","2023-09-01 16:00:00.0",838
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 17:00:00","2023-09-01 17:00:00.0",1074
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 18:00:00","2023-09-01 18:00:00.0",1201
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 19:00:00","2023-09-01 19:00:00.0",972
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 20:00:00","2023-09-01 20:00:00.0",805
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 21:00:00","2023-09-01 21:00:00.0",981
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 22:00:00","2023-09-01 22:00:00.0",915
"ایلام","صالح‌آباد - مهران (رضاآباد)","1402-06-10 23:00:00","2023-09-01 23:00:00.0",791
